iter	Passed	Remaining
0	166	24819
1	322	23850
2	477	23408
3	632	23090
4	783	22714
5	934	22436
6	1088	22228
7	1243	22069
8	1386	21729
9	1528	21395
10	1680	21234
11	1827	21017
12	1974	20812
13	2125	20649
14	2272	20453
15	2419	20264
16	2568	20094
17	2715	19912
18	2861	19728
19	3007	19545
20	3137	19275
21	3282	19097
22	3421	18890
23	3550	18642
24	3694	18470
25	3830	18266
26	3969	18084
27	4103	17880
28	4243	17707
29	4376	17507
30	4535	17410
31	4689	17294
32	4827	17114
33	4963	16932
34	5103	16767
35	5239	16591
36	5387	16453
37	5522	16276
38	5661	16113
39	5804	15962
40	5936	15782
41	6080	15635
42	6211	15456
43	6355	15310
44	6510	15191
45	6652	15040
46	6776	14850
47	6924	14714
48	7059	14551
49	7181	14363
50	7329	14228
51	7456	14053
52	7582	13877
53	7705	13698
54	7856	13569
55	7976	13389
56	8105	13224
57	8238	13068
58	8395	12948
59	8543	12815
60	8662	12639
61	8818	12516
62	8954	12365
63	9102	12231
64	9238	12081
65	9364	11918
66	9501	11769
67	9621	11602
68	9738	11432
69	9866	11276
70	9989	11115
71	10111	10954
72	10250	10812
73	10406	10688
74	10559	10559
75	10714	10432
76	10857	10293
77	10992	10146
78	11139	10011
79	11275	9865
80	11399	9710
81	11546	9575
82	11673	9423
83	11827	9292
84	11955	9142
85	12070	8983
86	12188	8826
87	12329	8686
88	12460	8540
89	12612	8408
90	12735	8257
91	12867	8111
92	12997	7966
93	13142	7829
94	13275	7685
95	13416	7547
96	13547	7402
97	13667	7252
98	13808	7113
99	13935	6967
100	14056	6819
101	14182	6674
102	14326	6537
103	14444	6389
104	14581	6249
105	14722	6111
106	14851	5968
107	14975	5823
108	15116	5686
109	15261	5549
110	15402	5411
111	15548	5275
112	15677	5133
113	15809	4992
114	15947	4853
115	16080	4713
116	16222	4575
117	16362	4437
118	16500	4298
119	16627	4156
120	16752	4015
121	16855	3868
122	16970	3725
123	17109	3587
124	17241	3448
125	17384	3311
126	17491	3167
127	17612	3027
128	17735	2887
129	17870	2749
130	17995	2609
131	18125	2471
132	18258	2333
133	18420	2199
134	18562	2062
135	18691	1924
136	18822	1786
137	18962	1648
138	19107	1512
139	19238	1374
140	19370	1236
141	19494	1098
142	19617	960
143	19759	823
144	19883	685
145	20011	548
146	20153	411
147	20274	273
148	20412	136
149	20547	0
